,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
94,elderflower-pom-1-1-beverage,Elderflower Pom 1:1 Beverage,Sweet Justice,[8.85],False,[],,,Edible,
95,exotic-gas-35455,Exotic Gas,The Loud Plug,[101.77],False,[],,,Flower,
96,feelz-blackberry-kush-cbn-cartridge-1g,Feelz Blackberry Kush CBN Cartridge | 1g,Spinach,[44.24],False,[],,,Vaporizers,
97,feelz-deep-dreamz-gummies-2-1-thc-cbn-2-pack,Feelz Deep Dreamz Gummies 2:1 THC:CBN 2-pack,Spinach,[8.85],False,[],,,Edible,
98,fireware-rechargeable-electric-lighter-v1,Fireware Rechargeable Electric Lighter (V1),Smoke Arsenal Inc.,[10.62],False,[],,,Accessories,
99,fireware-rechargeable-electric-lighter-v2,Fireware Rechargeable Electric Lighter (V2),Smoke Arsenal Inc.,[10.62],False,[],,,Accessories,
100,flapjacks,Flapjacks,Contraband,[72.56],False,[],,,Flower,
101,fresh-cbd-face-wash,Fresh CBD Face Wash,freshDAYLY,[22.12],False,[],,,Topicals,
102,fruit-hoops-4-pack,Fruit Hoops 4-pack,Vacay,[7.96],False,[],,,Edible,
103,funk-master,Funk Master,SHRED,[30.97],False,[],,,Flower,
104,funk-master-cartridge-1g,Funk Master Cartridge | 1g,SHRED,[33.62],False,[],,,Vaporizers,
105,funk-master-kief-2g,Funk Master Kief | 2g,SHRED,[24.78],False,[],,,Concentrate,
106,glto-infused-pre-roll-3-pack-1-5g,GLTO Infused Pre-roll 3-pack | 1.5g,RAD,[26.55],False,[],,,Pre-Rolls,
107,gmo-cookies,GMO Cookies,Spinach,[26.55],False,[],,,Flower,
108,gas-tank,Gas Tank,Highland Grow,[48.67],False,[],,,Flower,
109,gelato-mint-pre-roll-5-pack-2-5g,Gelato Mint Pre-Roll 5-Pack | 2.5g,Tribal,[24.78],False,[],,,Pre-Rolls,
110,gelato-pre-roll-10-pack-4g,Gelato Pre-Roll 10-pack | 4g,HEXO,[21.24],False,[],,,Pre-Rolls,
111,gems-5-0-15-pack,Gems 5:0 | 15-pack,Redecan,[10.62],False,[],,,Edible,
112,ginger-ale-galaxy-beverage,Ginger Ale Galaxy Beverage,Deep Space,[8.85],False,[],,,Edible,
113,gnarberry,Gnarberry,SHRED,[30.97],False,[],,,Flower,
114,go-chill-thc-oil,Go Chill THC Oil,FIGR,[26.55],False,[],,,Concentrate,
115,go-steady-black-cherry-punch-pre-roll-3-pack-1-5g,Go Steady Black Cherry Punch Pre-Roll 3-pack | 1.5g,FIGR,[16.81],False,[],,,Pre-Rolls,
116,go-slumber-5-1-cbn-shot,Go: Slumber 5:1 CBN Shot,Field Trip,[6.19],False,[],,,Edible,
117,guava-biscotti-blunts-3-pack-1-5g,Guava Biscotti Blunts 3-pack | 1.5g,The Loud Plug,[20.35],False,[],,,Pre-Rolls,
118,guava-ghoul-pre-rolls-7-pack-3-5g,Guava Ghoul Pre-Rolls 7-Pack | 3.5g,Good Buds,[23.9],False,[],,,Pre-Rolls,
119,hash-bats-jean-guy-hash-infused-pre-roll-3-pack-1-5g,Hash Bats: Jean Guy Hash Infused Pre-Roll 3-Pack | 1.5g,Good Supply,[22.12],False,[],,,Pre-Rolls,
120,hash-bats-starwalker-kush-hash-infused-pre-roll-3-pack-1-5g,Hash Bats: Starwalker Kush Hash Infused Pre-Roll 3-Pack | 1.5g,Good Supply,[22.12],False,[],,,Pre-Rolls,
121,hash-hits-5-pack,Hash Hits 5-pack,Embark,[26.55],False,[],,,Concentrate,
122,haute-freezable-carb-cap,Haute - Freezable Carb Cap,Smoke Arsenal Inc.,[13.27],False,[],,,Accessories,
123,hawaiian-pineapple,Hawaiian Pineapple,BC Black,[35.4],False,[],,,Flower,
124,hazy-honey-0-5g,Hazy Honey | 0.5g,BOAZ ,[42.48],False,[],,,Concentrate,
125,headband-seeds-4-pack,Headband Seeds | 4-pack,Pure Sunfarms,[37.17],False,[],,,Seeds,
126,hemp-wick-10ft,Hemp Wick | 10ft,RAW,[2.66],False,[],,,Accessories,
127,honeydew-boba-sativa-1-0-cartridge-0-95g,Honeydew Boba Sativa 1:0 Cartridge | 0.95g,General Admission,[35.4],False,[],,,Vaporizers,
128,ice-cream-sandwich-chocolates,Ice Cream Sandwich Chocolates,Vacay,[4.42],False,[],,,Edible,
129,iced-tea-raspberry,Iced Tea Raspberry,Tweed,[5.31],False,[],,,Edible,
130,indica-cropped-harvest-14g,Indica Cropped Harvest | 14g,Divvy,[48.68],False,[],,,Flower,
131,integra-boost-67g,Integra Boost (67g),,[6.19],False,[],,,Accessories,
132,island-cherry-kawehnoke-eri-ko-wa-cartridge-1g,Island Cherry (Kawehnoke Eri'ko:wa) Cartridge | 1g,Sev7n,[35.4],False,[],,,Vaporizers,
133,it-takes-two-to-mango-hash-rosin-soft-chews-2-pack,It Takes Two to Mango Hash Rosin Soft Chews 2-Pack,Fritz's Cannabis Company,[10.62],False,[],,,Edible,
134,japanese-cedar-bud-cbd-face-cream,Japanese Cedar Bud CBD Face Cream,Pura Earth,[44.25],False,[],,,Topicals,
135,japanese-citrus-yuzu-2-1-sour-soft-chews,Japanese Citrus Yuzu 2:1 Sour Soft Chews,Wana,[7.96],False,[],,,Edible,
136,jean-guy,Jean Guy,Good Supply,[141.59],False,[],,,Flower,
137,jean-guy-badder-1g,Jean Guy Badder | 1g,Good Supply,[33.63],False,[],,,Concentrate,
138,jean-guy-pre-roll-1g,Jean Guy Pre-Roll | 1g,Good Supply,[7.96],False,[],,,Pre-Rolls,
139,jeffrey-pre-roll-0-5g,Jeffrey Pre-Roll | 0.5g,Choice Growers,[4.43],False,[],,,Pre-Rolls,
140,jet-fuel-gelato-straight-cut-pre-roll-5-pack-3-5g,Jet Fuel Gelato Straight Cut Pre-Roll 5-pack | 3.5g,Pure Sunfarms,[22.12],False,[],,,Pre-Rolls,
141,jolts-electric-lemon-lozenges-10-pack,Jolts Electric Lemon Lozenges 10-pack,Edison Cannabis Co.,[17.7],False,[],,,Edible,
142,juicy-hemp-wraps-juicy-hemp-wraps-cherry-pie-88839,Juicy Hemp Wraps  - Juicy Hemp Wraps (Cherry Pie),Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
143,juicy-hemp-wraps-juicy-hemp-wraps-natural,Juicy Hemp Wraps  - Juicy Hemp Wraps (Natural),Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
144,juicy-hemp-wraps-juicy-hemp-wraps-papaya-punch,Juicy Hemp Wraps  - Juicy Hemp Wraps (Papaya Punch),Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
145,juicy-hemp-wraps-juicy-hemp-wraps-strawberry-sherbert,Juicy Hemp Wraps  - Juicy Hemp Wraps (Strawberry Sherbert),Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
146,juicy-hemp-wraps-juicy-hemp-wraps-grape-soda,Juicy Hemp Wraps  - Juicy Hemp Wraps - Grape Soda,Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
147,juicy-hemp-wraps-purple,Juicy Hemp Wraps Purple,Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
