,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
70,flowertopia,ice-cream-cake-232-series-live-terpene-stick-pre-roll-3-pack-1-5g,Ice Cream Cake 232 Series Live Terpene Stick Pre-Roll 3-pack | 1.5g,Kolab Project,24,False,,,,Pre-Rolls,
71,flowertopia,ice-cream-cake-5-pack-seeds,Ice Cream Cake 5 Pack Seeds,GMLL Pharma Inc.,32.95,False,,,,Seeds,
72,flowertopia,iced-tea-lemon,Iced Tea Lemon,Tweed,5.49,False,,,,Edible,
73,flowertopia,indica,Indica,Grasslands,94.75,False,,,,Flower,
74,flowertopia,jack-flash-cartridge-1g,Jack Flash Cartridge | 1g,Mood Ring,39,False,,,,Vaporizers,
75,flowertopia,japanese-citrus-yuzu-2-1-sour-soft-chews,Japanese Citrus Yuzu 2:1 Sour Soft Chews,Wana,7.99,False,,,,Edible,
76,flowertopia,jean-guy,Jean Guy,Good Supply,17,False,,,,Flower,
77,flowertopia,jean-guy-pre-roll-1g,Jean Guy Pre-Roll | 1g,Good Supply,8.2,False,,,,Pre-Rolls,
78,flowertopia,jet-fuel-gelato-pre-roll-14-pack-7g,Jet fuel Gelato Pre-Roll 14-pack | 7g,Pure Sunfarms,43,False,,,,Pre-Rolls,
79,flowertopia,king-palm-mini-pre-roll-pouch,King Palm Mini Pre-Roll Pouch,Humble and Fume,5.5,False,,,,Accessories,
80,flowertopia,king-palm-rollies-pre-roll-pouch,King Palm Rollies Pre-Roll Pouch,Humble and Fume,6.31,False,,,,Accessories,
81,flowertopia,king-palm-slim-pre-roll-pouch,King Palm Slim Pre-Roll Pouch,Humble and Fume,7.25,False,,,,Accessories,
82,flowertopia,kush-mint-cartridge-0-45g,Kush Mint Cartridge | 0.45g,Back Forty,23.99,False,,,,Vaporizers,
83,flowertopia,kush-mint-cartridge-1g,Kush Mint Cartridge | 1g,Back Forty,37,False,,,,Vaporizers,
