,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
17,Shiva's rose,15-tall-fields-of-green-beaker-tube-w-iconic-artwork-signature-decal,"15"" Tall Fields of Green Beaker Tube W/Iconic Artwork & Signature Decal",Cheech & Chong,135.0,False,,,,Accessories,
18,Shiva's rose,16-9mm-hermes-paris-bong,"16"" 9MM Hermes Paris Bong",Smoke Arsenal,115.0,False,,,,Accessories,
19,Shiva's rose,17oz-whipped-triple-moisturize,17oz Whipped Triple Moisturize,HEMPZ,29.95,False,,,,Accessories,
20,Shiva's rose,1-24k-gold-rolling-papers,"1¼"" 24k Gold Rolling Papers",&Shine,30.0,False,,,,Accessories,
21,Shiva's rose,2-5-plain-stripes-hand-pipe,"2.5"" Plain Stripes Hand Pipe",Smoke Arsenal,4.5,False,,,,Accessories,
22,Shiva's rose,33-splitter,33 Splitter,True Fire,29.5,False,,,,Flower,
23,Shiva's rose,4-cartel-pearl-blossom-spoon-pipe,"4"" Cartel Pearl Blossom Spoon Pipe",Cartel Pipes,9.95,False,,,,Accessories,
24,Shiva's rose,4-cartel-rainbow-drill-spoon-pipe,"4"" Cartel Rainbow Drill Spoon Pipe",Cartel Pipes,9.95,False,,,,Accessories,
25,Shiva's rose,4-moustache-ride-hand-pipe-color-changing,4'' Moustache Ride Hand Pipe - Color Changing,Cheech & Chong,30.0,False,,,,Accessories,
26,Shiva's rose,4-moustache-ride-hand-pipe-teal,4'' Moustache Ride Hand Pipe - Teal,Cheech & Chong,30.0,False,,,,Accessories,
27,Shiva's rose,7-glass-hammer-hand-pipe,"7"" Glass Hammer Hand Pipe""",Smoke Arsenal,35.0,False,,,,Accessories,
28,Shiva's rose,7-haunted-trunk-silicone-bong,"7"" Haunted Trunk Silicone Bong",Smoke Arsenal,54.95,False,,,,Accessories,
29,Shiva's rose,7-5-alien-heads-glass-bong,"7.5"" Alien Heads Glass Bong",Smoke Arsenal,50.0,False,,,,Accessories,
30,Shiva's rose,8-ball-kush-shatter-double-infused-pre-roll-1g,8 Ball Kush Shatter Double Infused Pre-Roll | 1g,Shatterizer,14.75,False,,,,Pre-Rolls,
31,Shiva's rose,8-monster-double-filter-silicone-water-pipe,"8"" Monster Double-Filter Silicone Water Pipe",Smoke Arsenal,50.0,False,,,,Accessories,
32,Shiva's rose,8-space-capsule-silicone-dab-rig,"8"" Space Capsule Silicone Dab Rig",Smoke Arsenal,37.5,False,,,,Accessories,
33,Shiva's rose,9-lb-hammer,9 lb Hammer,CALI,31.75,False,,,,Flower,
34,Shiva's rose,9-character-glass-percolator-bong-bart,"9"" Character Glass Percolator Bong Bart",Smoke Arsenal,95.0,False,,,,Accessories,
35,Shiva's rose,9-character-glass-percolator-bong-mario,"9"" Character Glass Percolator Bong Mario",Smoke Arsenal,90.0,False,,,,Accessories,
36,Shiva's rose,9-imperial-bubbler-honeycomb,"9"" Imperial Bubbler - Honeycomb",Red Eye Glass,50.0,False,,,,Accessories,
37,Shiva's rose,afghan-black-hash-2g,Afghan Black Hash | 2g,VORTEX,28.5,False,,,,Concentrate,
