,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
30,ace-valley-indica-kosher-kush-pre-roll-3x0-5g,Ace Valley - Indica Kosher Kush Pre -Roll 3x0.5g,Aurora Cannabis,[19.95],False,[13.96],True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 30, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '631bb9c60a876900d8f18897', 'specialName': 'FALL SALE!!!', 'specialRestrictions': {'5f2df432cd9a8200033bdbe8': {'discountType': 'percentDiscount'}, '5f7772872641900003cd30ce': {'discountType': 'percentDiscount'}, '5f5bb57aaefee40003a77399': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbd8': {'discountType': 'percentDiscount'}, '60f323ad1c3067000167f66c': {'discountType': 'percentDiscount'}, '605f767b8a373d00010a62b4': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd7': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd5': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae500': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfab': {'discountType': 'percentDiscount'}, '5f9c4a20dd61200003c65fa8': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbc9': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfb1': {'discountType': 'percentDiscount'}, '61ec354d799283000da422c2': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f4': {'discountType': 'percentDiscount'}, '60e9cef846811a000158afe9': {'discountType': 'percentDiscount'}, '5fd4f166dbda1f0003c610be': {'discountType': 'percentDiscount'}, '5f52db6b3a67480003b6a5b2': {'discountType': 'percentDiscount'}, '61ec354d799283000da422ae': {'discountType': 'percentDiscount'}, '6117d84c463f1c00010d29f3': {'discountType': 'percentDiscount'}, '614f68ab8432d800015d386e': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f3': {'discountType': 'percentDiscount'}, '619911c7ab81a0000cfc1f24': {'discountType': 'percentDiscount'}, '6251ac2a5baeff000c10184f': {'discountType': 'percentDiscount'}, '5f89d51ea5b3e80003a98f37': {'discountType': 'percentDiscount'}, '5f931a86dfbad6000378b0c2': {'discountType': 'percentDiscount'}, '62a79ff4b3ce1e000c423a60': {'discountType': 'percentDiscount'}, '61fe9dc06c823e000cc372fd': {'discountType': 'percentDiscount'}, '60bba358a64d210001e4d51b': {'discountType': 'percentDiscount'}, '5faec7fa6df20f000377369d': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae504': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae4fb': {'discountType': 'percentDiscount'}, '5fcbb8d19d47c300038d597c': {'discountType': 'percentDiscount'}, '61b4d1d92404c8000c577931': {'discountType': 'targetPrice'}, '60ce34dfc39f190001eed8f8': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Pre-Rolls,
31,ace-valley-raspberry-soft-chews-2x10g,Ace Valley - Raspberry Soft Chews 2x10g,Ace Valley,[7.95],False,[],,,Edible,
32,ace-valley-sativa-gelato-disposable-pen-0-28g,Ace Valley - Sativa / Gelato Disposable Pen 0.28g,Ace Valley,[32.99],False,[23.09],True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 30, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '631bb9c60a876900d8f18897', 'specialName': 'FALL SALE!!!', 'specialRestrictions': {'5f2df432cd9a8200033bdbe8': {'discountType': 'percentDiscount'}, '5f7772872641900003cd30ce': {'discountType': 'percentDiscount'}, '5f5bb57aaefee40003a77399': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbd8': {'discountType': 'percentDiscount'}, '60f323ad1c3067000167f66c': {'discountType': 'percentDiscount'}, '605f767b8a373d00010a62b4': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd7': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd5': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae500': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfab': {'discountType': 'percentDiscount'}, '5f9c4a20dd61200003c65fa8': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbc9': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfb1': {'discountType': 'percentDiscount'}, '61ec354d799283000da422c2': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f4': {'discountType': 'percentDiscount'}, '60e9cef846811a000158afe9': {'discountType': 'percentDiscount'}, '5fd4f166dbda1f0003c610be': {'discountType': 'percentDiscount'}, '5f52db6b3a67480003b6a5b2': {'discountType': 'percentDiscount'}, '61ec354d799283000da422ae': {'discountType': 'percentDiscount'}, '6117d84c463f1c00010d29f3': {'discountType': 'percentDiscount'}, '614f68ab8432d800015d386e': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f3': {'discountType': 'percentDiscount'}, '619911c7ab81a0000cfc1f24': {'discountType': 'percentDiscount'}, '6251ac2a5baeff000c10184f': {'discountType': 'percentDiscount'}, '5f89d51ea5b3e80003a98f37': {'discountType': 'percentDiscount'}, '5f931a86dfbad6000378b0c2': {'discountType': 'percentDiscount'}, '62a79ff4b3ce1e000c423a60': {'discountType': 'percentDiscount'}, '61fe9dc06c823e000cc372fd': {'discountType': 'percentDiscount'}, '60bba358a64d210001e4d51b': {'discountType': 'percentDiscount'}, '5faec7fa6df20f000377369d': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae504': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae4fb': {'discountType': 'percentDiscount'}, '5fcbb8d19d47c300038d597c': {'discountType': 'percentDiscount'}, '61b4d1d92404c8000c577931': {'discountType': 'targetPrice'}, '60ce34dfc39f190001eed8f8': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Vaporizers,
33,argentia-gold-b-banner-3-5g,Argentia Gold - B. Banner 3.5g,Argentia Gold,[18.95],False,[],,,Flower,
34,argentia-gold-tropicana-banana-3-5g,Argentia Gold - Tropicana Banana 3.5g,Argentia Gold,[18.95],False,[],,,Flower,
35,aurora-drift-peach-serene-cbd-soft-chews-5x4-3g,Aurora Drift - Peach Serene CBD Soft Chews 5x4.3g,Aurora Drift,[10.49],False,[],,,Edible,
36,aurora-drift-thc-citrus-shot,Aurora Drift - THC Citrus Shot,Aurora Drift,[7.25],False,[5.8],True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '631bb9c60a876900d8f18897', 'specialName': 'FALL SALE!!!', 'specialRestrictions': {'5f2df432cd9a8200033bdbe8': {'discountType': 'percentDiscount'}, '5f7772872641900003cd30ce': {'discountType': 'percentDiscount'}, '5f5bb57aaefee40003a77399': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbd8': {'discountType': 'percentDiscount'}, '60f323ad1c3067000167f66c': {'discountType': 'percentDiscount'}, '605f767b8a373d00010a62b4': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd7': {'discountType': 'percentDiscount'}, '60158afb9a8c660003e97bd5': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae500': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfab': {'discountType': 'percentDiscount'}, '5f9c4a20dd61200003c65fa8': {'discountType': 'percentDiscount'}, '5f2df432cd9a8200033bdbc9': {'discountType': 'percentDiscount'}, '5fc285b4ca571d00032fcfb1': {'discountType': 'percentDiscount'}, '61ec354d799283000da422c2': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f4': {'discountType': 'percentDiscount'}, '60e9cef846811a000158afe9': {'discountType': 'percentDiscount'}, '5fd4f166dbda1f0003c610be': {'discountType': 'percentDiscount'}, '5f52db6b3a67480003b6a5b2': {'discountType': 'percentDiscount'}, '61ec354d799283000da422ae': {'discountType': 'percentDiscount'}, '6117d84c463f1c00010d29f3': {'discountType': 'percentDiscount'}, '614f68ab8432d800015d386e': {'discountType': 'percentDiscount'}, '60ce34dfc39f190001eed8f3': {'discountType': 'percentDiscount'}, '619911c7ab81a0000cfc1f24': {'discountType': 'percentDiscount'}, '6251ac2a5baeff000c10184f': {'discountType': 'percentDiscount'}, '5f89d51ea5b3e80003a98f37': {'discountType': 'percentDiscount'}, '5f931a86dfbad6000378b0c2': {'discountType': 'percentDiscount'}, '62a79ff4b3ce1e000c423a60': {'discountType': 'percentDiscount'}, '61fe9dc06c823e000cc372fd': {'discountType': 'percentDiscount'}, '60bba358a64d210001e4d51b': {'discountType': 'percentDiscount'}, '5faec7fa6df20f000377369d': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae504': {'discountType': 'percentDiscount'}, '6043ba212b56b300032ae4fb': {'discountType': 'percentDiscount'}, '5fcbb8d19d47c300038d597c': {'discountType': 'percentDiscount'}, '61b4d1d92404c8000c577931': {'discountType': 'targetPrice'}, '60ce34dfc39f190001eed8f8': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Edible,
37,aurora-drift-grape-soft-chew-4x4-3g,Aurora Drift Grape Soft Chew 4x4.3g,Aurora Drift,[6.25],False,[],,,Edible,
38,aurora-drift-raspberry-soft-chews-4x4-3g,Aurora Drift Raspberry Soft Chews 4x4.3g,Aurora Drift,[6.25],False,[],,,Edible,
39,avana-lemonberry-haze-live-rosin-pax-pod-0-5g,Avana - Lemonberry Haze Live Rosin Pax Pod 0.5g,Avana,[47.49],False,[],,,Vaporizers,
