,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
91,toke,feelz-deep-dreamz-gummies-2-1-thc-cbn-2-pack,Feelz Deep Dreamz Gummies 2:1 THC:CBN 2-pack,Spinach,8.85,False,,,,Edible,
92,toke,fireware-rechargeable-electric-lighter-v1,Fireware Rechargeable Electric Lighter (V1),Smoke Arsenal Inc.,10.62,False,,,,Accessories,
93,toke,fireware-rechargeable-electric-lighter-v2,Fireware Rechargeable Electric Lighter (V2),Smoke Arsenal Inc.,10.62,False,,,,Accessories,
94,toke,flapjacks,Flapjacks,Contraband,72.56,False,,,,Flower,
95,toke,fresh-cbd-face-wash,Fresh CBD Face Wash,freshDAYLY,22.12,False,,,,Topicals,
96,toke,fruit-hoops-4-pack,Fruit Hoops 4-pack,Vacay,7.96,False,,,,Edible,
97,toke,funk-master,Funk Master,SHRED,30.97,False,,,,Flower,
98,toke,funk-master-cartridge-1g,Funk Master Cartridge | 1g,SHRED,33.62,False,,,,Vaporizers,
99,toke,funk-master-kief-2g,Funk Master Kief | 2g,SHRED,24.78,False,,,,Concentrate,
100,toke,glto-infused-pre-roll-3-pack-1-5g,GLTO Infused Pre-roll 3-pack | 1.5g,RAD,26.55,False,,,,Pre-Rolls,
101,toke,gmo-cookies,GMO Cookies,Spinach,26.55,False,,,,Flower,
102,toke,gas-tank,Gas Tank,Highland Grow,48.67,False,,,,Flower,
103,toke,gelato-mint-pre-roll-5-pack-2-5g,Gelato Mint Pre-Roll 5-Pack | 2.5g,Tribal,24.78,False,,,,Pre-Rolls,
104,toke,gelato-pre-roll-10-pack-4g,Gelato Pre-Roll 10-pack | 4g,HEXO,21.24,False,,,,Pre-Rolls,
105,toke,gems-5-0-15-pack,Gems 5:0 | 15-pack,Redecan,10.62,False,,,,Edible,
106,toke,ginger-ale-galaxy-beverage,Ginger Ale Galaxy Beverage,Deep Space,8.85,False,,,,Edible,
107,toke,gnarberry,Gnarberry,SHRED,30.97,False,,,,Flower,
108,toke,go-chill-thc-oil,Go Chill THC Oil,FIGR,26.55,False,,,,Concentrate,
109,toke,go-steady-black-cherry-punch-pre-roll-3-pack-1-5g,Go Steady Black Cherry Punch Pre-Roll 3-pack | 1.5g,FIGR,16.81,False,,,,Pre-Rolls,
110,toke,go-slumber-5-1-cbn-shot,Go: Slumber 5:1 CBN Shot,Field Trip,6.19,False,,,,Edible,
